districtid,monthid,statemean,statestdev
101,1,0,0
101,2,40.84,40.84
101,3,122.9,122.9
101,4,140.73,140.73
101,5,451.35,451.35
101,6,608.33,608.33
102,1,0,0
102,2,19.81,19.81
102,3,116.76,116.76
102,4,317.34,317.34
102,5,1277.04,1277.04
102,6,1714.68,1714.68
103,1,0,0
103,2,46.94,46.94
103,3,123.22,123.22
103,4,380,380
103,5,818.66,818.66
103,6,799.09,799.09
104,1,0,0
104,2,523.82,523.82
104,3,2206.41,2206.41
104,4,4486.74,4486.74
104,5,7978.41,7978.41
104,6,9834.12,9834.12
105,1,0,0
105,2,0,0
105,3,11,11
105,4,9,9
105,5,16.14,16.14
105,6,24.71,24.71
106,1,0,0
106,2,61.91,61.91
106,3,234.41,234.41
106,4,366.41,366.41
106,5,888.5,888.5
106,6,1009.94,1009.94
107,1,0,0
107,2,534.76,534.76
107,3,2249.42,2249.42
107,4,4595.55,4595.55
107,5,8184.3,8184.3
107,6,10093.79,10093.79
108,1,0,0
108,2,5.08,5.08
108,3,128.69,128.69
108,4,386.62,386.62
108,5,2071.15,2071.15
108,6,3409.31,3409.31
109,1,0,0
109,2,19.4,19.4
109,3,115.86,115.86
109,4,314.77,314.77
109,5,1274.62,1274.62
109,6,1699.52,1699.52
110,1,0,0
110,2,85.73,85.73
110,3,357.41,357.41
110,4,891.14,891.14
110,5,3217.86,3217.86
110,6,3383.45,3383.45
111,1,0,0
111,2,41.66,41.66
111,3,125.36,125.36
111,4,143.28,143.28
111,5,456.42,456.42
111,6,610.92,610.92
112,1,0,0
112,2,1.67,1.67
112,3,131.67,131.67
112,4,140.5,140.5
112,5,561,561
112,6,1096,1096
113,1,0,0
113,2,63.1,63.1
113,3,235.03,235.03
113,4,347.23,347.23
113,5,782.61,782.61
113,6,951.55,951.55
114,1,0,0
114,2,22.29,22.29
114,3,257.62,257.62
114,4,692.9,692.9
114,5,965.19,965.19
114,6,1376.67,1376.67
115,1,0,0
115,2,19.64,19.64
115,3,116.12,116.12
115,4,318.57,318.57
115,5,1288.1,1288.1
115,6,1716.01,1716.01
116,1,0,0
116,2,19.76,19.76
116,3,114.89,114.89
116,4,321.63,321.63
116,5,1300.92,1300.92
116,6,1729.23,1729.23
117,1,0,0
117,2,549.31,549.31
117,3,2312.38,2312.38
117,4,4723.56,4723.56
117,5,8371.34,8371.34
117,6,10324.09,10324.09
118,1,0,0
118,2,48.42,48.42
118,3,126.55,126.55
118,4,388.13,388.13
118,5,826.29,826.29
118,6,802.42,802.42
119,1,0,0
119,2,62.76,62.76
119,3,36.57,36.57
119,4,207.86,207.86
119,5,791.29,791.29
119,6,1595.76,1595.76
120,1,0,0
120,2,19.94,19.94
120,3,115.87,115.87
120,4,324.11,324.11
120,5,1309.01,1309.01
120,6,1741.26,1741.26
121,1,0,0
121,2,49,49
121,3,129.3,129.3
121,4,395.27,395.27
121,5,844.5,844.5
121,6,820.43,820.43
122,1,0,0
122,2,75.17,75.17
122,3,171.08,171.08
122,4,1587.25,1587.25
122,5,16075.92,16075.92
122,6,18661,18661
123,1,0,0
123,2,18.47,18.47
123,3,180,180
123,4,288.37,288.37
123,5,768.11,768.11
123,6,811.74,811.74
124,1,0,0
124,2,14.48,14.48
124,3,96.55,96.55
124,4,333.28,333.28
124,5,1219.48,1219.48
124,6,2438.76,2438.76
125,1,0,0
125,2,0,0
125,3,3.42,3.42
125,4,11.38,11.38
125,5,80.75,80.75
125,6,107,107
126,1,0,0
126,2,42.45,42.45
126,3,127.45,127.45
126,4,146.1,146.1
126,5,464.53,464.53
126,6,615.43,615.43
127,1,0,0
127,2,18.16,18.16
127,3,136.81,136.81
127,4,273.35,273.35
127,5,1874.92,1874.92
127,6,1534.49,1534.49
128,1,0,0
128,2,48.69,48.69
128,3,131.79,131.79
128,4,404.86,404.86
128,5,870.72,870.72
128,6,844.24,844.24
129,1,0,0
129,2,205.69,205.69
129,3,891.19,891.19
129,4,2781.06,2781.06
129,5,4626.84,4626.84
129,6,4077.94,4077.94
130,1,0,0
130,2,18.44,18.44
130,3,139,139
130,4,278.28,278.28
130,5,1907.69,1907.69
130,6,1561.81,1561.81
131,1,0,0
131,2,43.29,43.29
131,3,129.31,129.31
131,4,148.67,148.67
131,5,472.94,472.94
131,6,625.29,625.29
132,1,0,0
132,2,0,0
132,3,0,0
132,4,0,0
132,5,0,0
132,6,0,0
133,1,0,0
133,2,20.12,20.12
133,3,117.04,117.04
133,4,327.87,327.87
133,5,1320.7,1320.7
133,6,1755.25,1755.25
134,1,0,0
134,2,18.51,18.51
134,3,140.14,140.14
134,4,280.34,280.34
134,5,1928.23,1928.23
134,6,1565.6,1565.6
135,1,0,0
135,2,546.71,546.71
135,3,2329.65,2329.65
135,4,4690.13,4690.13
135,5,8361.61,8361.61
135,6,10408.23,10408.23
136,1,0,0
136,2,20.41,20.41
136,3,116.49,116.49
136,4,328.46,328.46
136,5,1321.46,1321.46
136,6,1749.47,1749.47
137,1,0,0
137,2,20.7,20.7
137,3,115.91,115.91
137,4,330.54,330.54
137,5,1318.88,1318.88
137,6,1751.9,1751.9
138,1,0,0
138,2,14.14,14.14
138,3,190.14,190.14
138,4,1104.31,1104.31
138,5,5062.93,5062.93
138,6,6795.93,6795.93
139,1,0,0
139,2,1.82,1.82
139,3,140,140
139,4,148.27,148.27
139,5,605.64,605.64
139,6,1183,1183
140,1,0,0
140,2,20.86,20.86
140,3,116.17,116.17
140,4,330.59,330.59
140,5,1335.18,1335.18
140,6,1774.38,1774.38
141,1,0,0
141,2,20.92,20.92
141,3,116.65,116.65
141,4,334.83,334.83
141,5,1341.22,1341.22
141,6,1783.85,1783.85
142,1,0,0
142,2,44.21,44.21
142,3,131.81,131.81
142,4,151,151
142,5,480.4,480.4
142,6,634.87,634.87
143,1,0,0
143,2,14.93,14.93
143,3,95.46,95.46
143,4,340.46,340.46
143,5,1246.54,1246.54
143,6,2480.93,2480.93
144,1,0,0
144,2,12.52,12.52
144,3,94.85,94.85
144,4,341.33,341.33
144,5,1256.81,1256.81
144,6,2472,2472
145,1,0,0
145,2,14.5,14.5
145,3,191.54,191.54
145,4,1089.68,1089.68
145,5,4898.11,4898.11
145,6,6608.5,6608.5
146,1,0,0
146,2,21.23,21.23
146,3,117.55,117.55
146,4,334.8,334.8
146,5,1327.52,1327.52
146,6,1785.91,1785.91
147,1,0,0
147,2,0.85,0.85
147,3,51.58,51.58
147,4,100.19,100.19
147,5,339.04,339.04
147,6,1135.96,1135.96
148,1,0,0
148,2,0.88,0.88
148,3,48.76,48.76
148,4,97.32,97.32
148,5,344.6,344.6
148,6,1158.44,1158.44
149,1,0,0
149,2,0.92,0.92
149,3,49.38,49.38
149,4,96.38,96.38
149,5,355.08,355.08
149,6,1201.21,1201.21
150,1,0,0
150,2,21.56,21.56
150,3,118.63,118.63
150,4,339.05,339.05
150,5,1343,1343
150,6,1804.19,1804.19
151,1,0,0
151,2,0.96,0.96
151,3,50.35,50.35
151,4,98.09,98.09
151,5,367.22,367.22
151,6,1239.22,1239.22
152,1,0,0
152,2,48.5,48.5
152,3,134.14,134.14
152,4,412.61,412.61
152,5,885.14,885.14
152,6,858.21,858.21
153,1,0,0
153,2,21.61,21.61
153,3,120.37,120.37
153,4,343.87,343.87
153,5,1359.77,1359.77
153,6,1822.34,1822.34
154,1,0,0
154,2,18.94,18.94
154,3,184.5,184.5
154,4,297.06,297.06
154,5,766.17,766.17
154,6,792.28,792.28
155,1,0,0
155,2,18.79,18.79
155,3,140.12,140.12
155,4,284.26,284.26
155,5,1959.21,1959.21
155,6,1593.29,1593.29
156,1,0,0
156,2,89.81,89.81
156,3,366.05,366.05
156,4,926.9,926.9
156,5,3329.38,3329.38
156,6,3454.62,3454.62
157,1,0,0
157,2,65,65
157,3,242.13,242.13
157,4,358.33,358.33
157,5,801.13,801.13
157,6,971.37,971.37
158,1,0,0
158,2,21.87,21.87
158,3,118.95,118.95
158,4,342.8,342.8
158,5,1363.2,1363.2
158,6,1813.89,1813.89
159,1,0,0
159,2,17.24,17.24
159,3,172.18,172.18
159,4,266.59,266.59
159,5,757.59,757.59
159,6,794.35,794.35
160,1,0,0
160,2,67.14,67.14
160,3,248.45,248.45
160,4,370.21,370.21
160,5,821,821
160,6,988.86,988.86
161,1,0,0
161,2,22.15,22.15
161,3,119.28,119.28
161,4,340.52,340.52
161,5,1328.85,1328.85
161,6,1790.77,1790.77
162,1,0,0
162,2,13,13
162,3,97.81,97.81
162,4,348.58,348.58
162,5,1284.81,1284.81
162,6,2477.58,2477.58
163,1,0,0
163,2,69.32,69.32
163,3,253.43,253.43
163,4,362.71,362.71
163,5,810.43,810.43
163,6,1005.79,1005.79
164,1,0,0
164,2,64.95,64.95
164,3,38,38
164,4,216,216
164,5,810.7,810.7
164,6,1635,1635
165,1,0,0
165,2,45.13,45.13
165,3,133.89,133.89
165,4,151.57,151.57
165,5,474.96,474.96
165,6,641.98,641.98
166,1,0,0
166,2,1,1
166,3,52.41,52.41
166,4,99.86,99.86
166,5,371.91,371.91
166,6,1264.18,1264.18
167,1,0,0
167,2,22.22,22.22
167,3,117.75,117.75
167,4,343.39,343.39
167,5,1334.07,1334.07
167,6,1801.02,1801.02
168,1,0,0
168,2,66.26,66.26
168,3,39.16,39.16
168,4,222.89,222.89
168,5,812.84,812.84
168,6,1618.68,1618.68
169,1,0,0
169,2,564.93,564.93
169,3,2405.03,2405.03
169,4,4841.43,4841.43
169,5,8576.37,8576.37
169,6,10645.5,10645.5
170,1,0,0
170,2,18.21,18.21
170,3,136.88,136.88
170,4,279.55,279.55
170,5,1943.27,1943.27
170,6,1569.7,1569.7
171,1,0,0
171,2,12.78,12.78
171,3,191.59,191.59
171,4,1123.85,1123.85
171,5,4873.89,4873.89
171,6,6549.59,6549.59
172,1,0,0
172,2,13.27,13.27
172,3,197.77,197.77
172,4,1154.5,1154.5
172,5,4961,4961
172,6,6701.54,6701.54
173,1,0,0
173,2,11.6,11.6
173,3,188.36,188.36
173,4,489.88,489.88
173,5,2813.4,2813.4
173,6,4260.84,4260.84
174,1,0,0
174,2,46.13,46.13
174,3,136.07,136.07
174,4,153.44,153.44
174,5,481,481
174,6,645.51,645.51
175,1,0,0
175,2,22.57,22.57
175,3,118.4,118.4
175,4,347.07,347.07
175,5,1347.55,1347.55
175,6,1824.83,1824.83
176,1,0,0
176,2,12.92,12.92
176,3,96.88,96.88
176,4,356.88,356.88
176,5,1305.24,1305.24
176,6,2491.88,2491.88
177,1,0,0
177,2,17.94,17.94
177,3,132.53,132.53
177,4,266.78,266.78
177,5,1918.91,1918.91
177,6,1549.78,1549.78
178,1,0,0
178,2,584.38,584.38
178,3,2486.38,2486.38
178,4,5004.41,5004.41
178,5,8863.45,8863.45
178,6,10973.24,10973.24
179,1,0,0
179,2,71.48,71.48
179,3,234.04,234.04
179,4,336.41,336.41
179,5,801.74,801.74
179,6,1015.37,1015.37
180,1,0,0
180,2,50.19,50.19
180,3,137.56,137.56
180,4,415.26,415.26
180,5,892.74,892.74
180,6,868.3,868.3
181,1,0,0
181,2,49.81,49.81
181,3,140.58,140.58
181,4,414.19,414.19
181,5,876.73,876.73
181,6,856.92,856.92
182,1,0,0
182,2,73.85,73.85
182,3,237.54,237.54
182,4,345.35,345.35
182,5,803.12,803.12
182,6,1008.08,1008.08
183,1,0,0
183,2,46.98,46.98
183,3,136.82,136.82
183,4,151.73,151.73
183,5,488.14,488.14
183,6,657,657
184,1,0,0
184,2,23.25,23.25
184,3,266.5,266.5
184,4,699.6,699.6
184,5,1002.1,1002.1
184,6,1407.95,1407.95
185,1,0,0
185,2,17.68,17.68
185,3,133.19,133.19
185,4,268.97,268.97
185,5,1912.26,1912.26
185,6,1560.16,1560.16
186,1,0,0
186,2,37.77,37.77
186,3,111.53,111.53
186,4,122.23,122.23
186,5,397.91,397.91
186,6,589.33,589.33
187,1,0,0
187,2,10.96,10.96
187,3,185.08,185.08
187,4,479.88,479.88
187,5,2848.29,2848.29
187,6,4360.79,4360.79
188,1,0,0
188,2,1.05,1.05
188,3,54.9,54.9
188,4,103.76,103.76
188,5,385.1,385.1
188,6,1301.43,1301.43
189,1,0,0
189,2,22.7,22.7
189,3,117.75,117.75
189,4,349.68,349.68
189,5,1361.21,1361.21
189,6,1838.42,1838.42
190,1,0,0
190,2,76.68,76.68
190,3,243.8,243.8
190,4,328.28,328.28
190,5,764.08,764.08
190,6,965.16,965.16
191,1,0,0
191,2,1.1,1.1
191,3,50.2,50.2
191,4,101.85,101.85
191,5,374.1,374.1
191,6,1279.95,1279.95
192,1,0,0
192,2,2.36,2.36
192,3,36,36
192,4,63.55,63.55
192,5,198.91,198.91
192,6,298.91,298.91
193,1,0,0
193,2,93.95,93.95
193,3,372.6,372.6
193,4,968.65,968.65
193,5,3459.2,3459.2
193,6,3564.05,3564.05
194,1,0,0
194,2,4.13,4.13
194,3,63.48,63.48
194,4,88.96,88.96
194,5,665.57,665.57
194,6,1245.26,1245.26
195,1,0,0
195,2,50.04,50.04
195,3,145.88,145.88
195,4,428.48,428.48
195,5,902.28,902.28
195,6,883.76,883.76
196,1,0,0
196,2,13.29,13.29
196,3,99.5,99.5
196,4,371.12,371.12
196,5,1352.67,1352.67
196,6,2571.88,2571.88
197,1,0,0
197,2,23.05,23.05
197,3,119.23,119.23
197,4,353.27,353.27
197,5,1377.02,1377.02
197,6,1851.91,1851.91
198,1,0,0
198,2,15.88,15.88
198,3,172.5,172.5
198,4,261.94,261.94
198,5,739.44,739.44
198,6,769.75,769.75
199,1,0,0
199,2,22.8,22.8
199,3,117.31,117.31
199,4,349.05,349.05
199,5,1388.75,1388.75
199,6,1869.15,1869.15
200,1,0,0
200,2,605.11,605.11
200,3,2571.89,2571.89
200,4,5173.07,5173.07
200,5,9122.43,9122.43
200,6,11295.5,11295.5
201,1,0,0
201,2,79.88,79.88
201,3,253.58,253.58
201,4,341.42,341.42
201,5,785.58,785.58
201,6,987.58,987.58
202,1,0,0
202,2,37.24,37.24
202,3,106.55,106.55
202,4,124.02,124.02
202,5,405.62,405.62
202,6,601.57,601.57
203,1,0,0
203,2,17.13,17.13
203,3,134.5,134.5
203,4,272.77,272.77
203,5,1918.2,1918.2
203,6,1578.77,1578.77
204,1,0,0
204,2,11.43,11.43
204,3,193.09,193.09
204,4,493.35,493.35
204,5,2923.09,2923.09
204,6,4493.3,4493.3
205,1,0,0
205,2,2,2
205,3,37.3,37.3
205,4,67.3,67.3
205,5,201.9,201.9
205,6,303.4,303.4
206,1,0,0
206,2,2,2
206,3,150,150
206,4,159.4,159.4
206,5,662,662
206,6,1273.4,1273.4
207,1,0,0
207,2,2.22,2.22
207,3,161.33,161.33
207,4,174.56,174.56
207,5,725.44,725.44
207,6,1388.67,1388.67
208,1,0,0
208,2,0,0
208,3,12,12
208,4,9.67,9.67
208,5,18,18
208,6,28.67,28.67
209,1,0,0
209,2,23.2,23.2
209,3,118.78,118.78
209,4,351.15,351.15
209,5,1395.83,1395.83
209,6,1887.56,1887.56
210,1,0,0
210,2,0,0
210,3,0,0
210,4,0,0
210,5,0,0
210,6,0,0
211,1,0,0
211,2,627.44,627.44
211,3,2665.59,2665.59
211,4,5360.3,5360.3
211,5,9436.81,9436.81
211,6,11610.7,11610.7
212,1,0,0
212,2,0,0
212,3,1.17,1.17
212,4,9.52,9.52
212,5,76.3,76.3
212,6,101.52,101.52
213,1,0,0
213,2,24.32,24.32
213,3,278.32,278.32
213,4,734.16,734.16
213,5,1049,1049
213,6,1475.95,1475.95
214,1,0,0
214,2,4.32,4.32
214,3,64.91,64.91
214,4,89.09,89.09
214,5,680.68,680.68
214,6,1282.23,1282.23
215,1,0,0
215,2,59.61,59.61
215,3,156.65,156.65
215,4,1309.03,1309.03
215,5,3688.48,3688.48
215,6,3253.65,3253.65
216,1,0,0
216,2,38.15,38.15
216,3,108.12,108.12
216,4,126.39,126.39
216,5,407.37,407.37
216,6,609.12,609.12
217,1,0,0
217,2,39.1,39.1
217,3,110.2,110.2
217,4,128.43,128.43
217,5,413.45,413.45
217,6,617.65,617.65
218,1,0,0
218,2,51.96,51.96
218,3,151.04,151.04
218,4,444.67,444.67
218,5,935.04,935.04
218,6,913.79,913.79
219,1,0,0
219,2,11.68,11.68
219,3,196.05,196.05
219,4,504.36,504.36
219,5,2955.82,2955.82
219,6,4597.09,4597.09
220,1,0,0
220,2,12.24,12.24
220,3,204.48,204.48
220,4,522.43,522.43
220,5,3021.95,3021.95
220,6,4661,4661
221,1,0,0
221,2,12.55,12.55
221,3,212.9,212.9
221,4,545.55,545.55
221,5,3118.8,3118.8
221,6,4770.55,4770.55
222,1,0,0
222,2,23.49,23.49
222,3,119.75,119.75
222,4,357.23,357.23
222,5,1417.79,1417.79
222,6,1914.98,1914.98
223,1,0,0
223,2,75.73,75.73
223,3,168.18,168.18
223,4,1520.36,1520.36
223,5,16113.18,16113.18
223,6,18239.27,18239.27
224,1,0,0
224,2,77.22,77.22
224,3,262.13,262.13
224,4,355.57,355.57
224,5,809.87,809.87
224,6,1006.3,1006.3
225,1,0,0
225,2,80.14,80.14
225,3,267.09,267.09
225,4,362.41,362.41
225,5,830.86,830.86
225,6,1035.77,1035.77
226,1,0,0
226,2,61.43,61.43
226,3,160.97,160.97
226,4,1316.4,1316.4
226,5,3610.27,3610.27
226,6,2991.63,2991.63
227,1,0,0
227,2,98.89,98.89
227,3,379.26,379.26
227,4,1013.84,1013.84
227,5,3583.63,3583.63
227,6,3636.74,3636.74
228,1,0,0
228,2,50.24,50.24
228,3,162.76,162.76
228,4,1327.14,1327.14
228,5,3603.1,3603.1
228,6,2807.72,2807.72
229,1,0,0
229,2,13.78,13.78
229,3,94.43,94.43
229,4,353.39,353.39
229,5,1312.35,1312.35
229,6,2389.57,2389.57
230,1,0,0
230,2,0,0
230,3,1,1
230,4,138,138
230,5,321.5,321.5
230,6,208,208
231,1,0,0
231,2,53.52,53.52
231,3,156.39,156.39
231,4,460.17,460.17
231,5,946.91,946.91
231,6,932.83,932.83
232,1,0,0
232,2,1.16,1.16
232,3,52.84,52.84
232,4,104.53,104.53
232,5,388.11,388.11
232,6,1330,1330
233,1,0,0
233,2,104.39,104.39
233,3,396.78,396.78
233,4,1055.28,1055.28
233,5,3695.61,3695.61
233,6,3720.28,3720.28
234,1,0,0
234,2,12.42,12.42
234,3,213.32,213.32
234,4,469.58,469.58
234,5,3000.37,3000.37
234,6,4652.74,4652.74
235,1,0,0
235,2,0,0
235,3,0,0
235,4,25,0
235,5,108,0
235,6,115,0
236,1,0,0
236,2,40.1,40.1
236,3,112.33,112.33
236,4,130.95,130.95
236,5,416.1,416.1
236,6,623.36,623.36
237,1,0,0
237,2,55.91,55.91
237,3,163.41,163.41
237,4,480.95,480.95
237,5,988.91,988.91
237,6,973.32,973.32
238,1,0,0
238,2,17.17,17.17
238,3,134.79,134.79
238,4,273.21,273.21
238,5,1951.55,1951.55
238,6,1594.66,1594.66
239,1,0,0
239,2,110.35,110.35
239,3,409.71,409.71
239,4,1076.88,1076.88
239,5,3779,3779
239,6,3802.35,3802.35
240,1,0,0
240,2,41.16,41.16
240,3,114.76,114.76
240,4,133.26,133.26
240,5,420.24,420.24
240,6,627.71,627.71
241,1,0,0
241,2,83.62,83.62
241,3,277.52,277.52
241,4,373.19,373.19
241,5,863.14,863.14
241,6,1071.38,1071.38
242,1,0,0
242,2,8.5,8.5
242,3,217.5,217.5
242,4,478.28,478.28
242,5,2983.61,2983.61
242,6,4514.61,4514.61
243,1,0,0
243,2,1.5,1.5
243,3,129.88,129.88
243,4,143.62,143.62
243,5,655.75,655.75
243,6,1188.88,1188.88
244,1,0,0
244,2,0,0
244,3,0,0
244,4,0,0
244,5,0,0
244,6,0,0
245,1,0,0
245,2,14.36,14.36
245,3,96.95,96.95
245,4,368.27,368.27
245,5,1370.41,1370.41
245,6,2491.59,2491.59
246,1,0,0
246,2,4.43,4.43
246,3,67.71,67.71
246,4,90.71,90.71
246,5,684.76,684.76
246,6,1306.52,1306.52
247,1,0,0
247,2,23.88,23.88
247,3,119.38,119.38
247,4,359.6,359.6
247,5,1413.06,1413.06
247,6,1908.92,1908.92
248,1,0,0
248,2,58,58
248,3,171.05,171.05
248,4,503.19,503.19
248,5,1032.86,1032.86
